time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
1969/12/31/19:01:18.090000,7669,78,90000000,firefly/imugt_link,0.151375217575,0.105797853145,-0.386519007377,-0.903601358294,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",1.62546940841,0.337237816693,0.466961231684,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.731910508713,0.0057542361015,7.35913354221,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.110000,7670,78,100000000,firefly/imugt_link,0.14599883049,0.100075265453,-0.388968810475,-0.904086581704,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",1.47999471849,0.554644101749,0.464213479534,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.746107508265,-0.00555112854929,7.34842212979,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.110000,7671,78,110000000,firefly/imugt_link,0.141657741374,0.0938651161313,-0.391172735542,-0.904492296955,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",1.32348095356,0.728937535437,0.460898784537,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.806649776545,-0.0243015249235,7.65857409892,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.120000,7672,78,120000000,firefly/imugt_link,0.138308946507,0.0872938993196,-0.393157700814,-0.904807953517,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",1.16555757229,0.876409836449,0.45718709693,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.838776712901,-0.039851531833,7.82697759412,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.130000,7673,78,130000000,firefly/imugt_link,0.135812765006,0.0805565910008,-0.394970005921,-0.905021669868,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",1.01848542392,0.976511084233,0.453437749917,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.874741223006,-0.0545510479865,8.10965886555,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.140000,7674,78,140000000,firefly/imugt_link,0.134091792505,0.0737695507962,-0.396637996558,-0.905127474031,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.876844079993,1.0489331343,0.44968383301,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.891302128167,-0.0680880061299,8.21238173053,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.140000,7675,78,150000000,firefly/imugt_link,0.133051782131,0.067091137323,-0.398197689164,-0.905115795304,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.740199016449,1.0844625334,0.446530602267,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.90337213969,-0.0826621606311,8.27447567228,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.160000,7676,78,160000000,firefly/imugt_link,0.132568137506,0.0606521875534,-0.399682097983,-0.904986862675,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.616270715422,1.08585387659,0.443331623015,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.916055398702,-0.0941524610346,8.46883128451,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.170000,7677,78,170000000,firefly/imugt_link,0.132501283375,0.0545790089623,-0.401125323468,-0.904744724526,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.508094533822,1.05268582948,0.440281689302,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.923553260839,-0.104111237993,8.65447674256,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.180000,7678,78,180000000,firefly/imugt_link,0.132769632244,0.0489397647661,-0.402548463499,-0.904395852884,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.409578978677,1.00041989585,0.43737295151,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.920623060428,-0.113015184413,8.70089584849,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.180000,7679,78,190000000,firefly/imugt_link,0.133327145359,0.0437742822478,-0.403965428898,-0.903946689125,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.316403394917,0.937187369183,0.434581052378,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.913660666616,-0.121520880071,8.69328033122,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.200000,7680,78,200000000,firefly/imugt_link,0.133908500356,0.0392685152793,-0.405427946344,-0.903412794664,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.256930248208,0.817887426526,0.43228006283,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.918618200029,-0.127465927347,9.09036264453,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.200000,7681,78,210000000,firefly/imugt_link,0.134374655766,0.035519395187,-0.406964400557,-0.902807732096,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.215062506669,0.66929050777,0.430236024188,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.905744265104,-0.131074687183,9.22171790159,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:01:18.220000,7682,78,220000000,firefly/imugt_link,0.134647156957,0.0325780848364,-0.408591364084,-0.902142953588,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",0.18331671846,0.504813593073,0.428356730621,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.885875394095,-0.133444452764,9.2393925344,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
